id	file_name_f	file_name_r	plate	well	sequencing_batch	label	environment	location	site	date
135	24025-0137_all_R1.fastq	24025-0137_all_R2.fastq	plate_2	C6	3	5_LK_MG_S_7	gills	lim_bay	aquaculture	18.03.2021
136	24025-0138_all_R1.fastq	24025-0138_all_R2.fastq	plate_2	D6	3	5_LK_MG_S_8	gills	lim_bay	aquaculture	18.03.2021
137	24025-0139_all_R1.fastq	24025-0139_all_R2.fastq	plate_2	E6	3	5_LK_MG_S_9	gills	lim_bay	aquaculture	18.03.2021
138	24025-0140_all_R1.fastq	24025-0140_all_R2.fastq	plate_2	F6	3	5_LK_MG_S_10	gills	lim_bay	aquaculture	18.03.2021
139	24025-0141_all_R1.fastq	24025-0141_all_R2.fastq	plate_2	G6	3	5_MS_MG_S_1	gills	mali_ston_bay	aquaculture	15.03.2021
140	24025-0142_all_R1.fastq	24025-0142_all_R2.fastq	plate_2	H6	3	5_MS_MG_S_2	gills	mali_ston_bay	aquaculture	15.03.2021
141	24025-0143_all_R1.fastq	24025-0143_all_R2.fastq	plate_2	A7	4	5_MS_MG_S_3	gills	mali_ston_bay	aquaculture	15.03.2021
143	24025-0145_all_R1.fastq	24025-0145_all_R2.fastq	plate_2	C7	4	5_MS_MG_S_5	gills	mali_ston_bay	aquaculture	15.03.2021
144	24025-0146_all_R1.fastq	24025-0146_all_R2.fastq	plate_2	D7	4	5_MS_MG_S_6	gills	mali_ston_bay	aquaculture	15.03.2021
145	24025-0147_all_R1.fastq	24025-0147_all_R2.fastq	plate_2	E7	4	5_MS_MG_S_7	gills	mali_ston_bay	aquaculture	15.03.2021
146	24025-0148_all_R1.fastq	24025-0148_all_R2.fastq	plate_2	F7	4	5_MS_MG_S_8	gills	mali_ston_bay	aquaculture	15.03.2021
147	24025-0149_all_R1.fastq	24025-0149_all_R2.fastq	plate_2	G7	4	5_MS_MG_S_9	gills	mali_ston_bay	aquaculture	15.03.2021
148	24025-0150_all_R1.fastq	24025-0150_all_R2.fastq	plate_2	H7	4	5_MS_MG_S_10	gills	mali_ston_bay	aquaculture	15.03.2021
149	24025-0151_all_R1.fastq	24025-0151_all_R2.fastq	plate_2	A8	4	6_LK_MG_S_1	gills	lim_bay	aquaculture	07.05.2021
151	24025-0153_all_R1.fastq	24025-0153_all_R2.fastq	plate_2	C8	4	6_LK_MG_S_3	gills	lim_bay	aquaculture	07.05.2021
152	24025-0154_all_R1.fastq	24025-0154_all_R2.fastq	plate_2	D8	4	6_LK_MG_S_4	gills	lim_bay	aquaculture	07.05.2021
153	24025-0155_all_R1.fastq	24025-0155_all_R2.fastq	plate_2	E8	4	6_LK_MG_S_5	gills	lim_bay	aquaculture	07.05.2021
154	24025-0156_all_R1.fastq	24025-0156_all_R2.fastq	plate_2	F8	4	6_LK_MG_S_6	gills	lim_bay	aquaculture	07.05.2021
155	24025-0157_all_R1.fastq	24025-0157_all_R2.fastq	plate_2	G8	4	6_LK_MG_S_7	gills	lim_bay	aquaculture	07.05.2021
156	24025-0158_all_R1.fastq	24025-0158_all_R2.fastq	plate_2	H8	4	6_LK_MG_S_8	gills	lim_bay	aquaculture	07.05.2021
157	24025-0159_all_R1.fastq	24025-0159_all_R2.fastq	plate_2	A9	4	6_LK_MG_S_9	gills	lim_bay	aquaculture	07.05.2021
159	24025-0161_all_R1.fastq	24025-0161_all_R2.fastq	plate_2	C9	4	6_MS_MG_S_1	gills	mali_ston_bay	aquaculture	03.05.2021
160	24025-0162_all_R1.fastq	24025-0162_all_R2.fastq	plate_2	D9	4	6_MS_MG_S_2	gills	mali_ston_bay	aquaculture	03.05.2021
161	24025-0163_all_R1.fastq	24025-0163_all_R2.fastq	plate_2	E9	4	6_MS_MG_S_3	gills	mali_ston_bay	aquaculture	03.05.2021
162	24025-0164_all_R1.fastq	24025-0164_all_R2.fastq	plate_2	F9	4	6_MS_MG_S_4	gills	mali_ston_bay	aquaculture	03.05.2021
163	24025-0165_all_R1.fastq	24025-0165_all_R2.fastq	plate_2	G9	4	6_MS_MG_S_5	gills	mali_ston_bay	aquaculture	03.05.2021
164	24025-0166_all_R1.fastq	24025-0166_all_R2.fastq	plate_2	H9	4	6_MS_MG_S_6	gills	mali_ston_bay	aquaculture	03.05.2021
165	24025-0167_all_R1.fastq	24025-0167_all_R2.fastq	plate_2	A10	4	6_MS_MG_S_7	gills	mali_ston_bay	aquaculture	03.05.2021
167	24025-0169_all_R1.fastq	24025-0169_all_R2.fastq	plate_2	C10	4	6_MS_MG_S_9	gills	mali_ston_bay	aquaculture	03.05.2021
168	24025-0170_all_R1.fastq	24025-0170_all_R2.fastq	plate_2	D10	4	6_MS_MG_S_10	gills	mali_ston_bay	aquaculture	03.05.2021
PC1	24025-0093_all_R1.fastq	24025-0093_all_R2.fastq	plate_1	E12	2	ATCC_MSA-1002_1				
PC2	24025-0171_all_R1.fastq	24025-0171_all_R2.fastq	plate_2	E10	4	ATCC_MSA-1002_2				
NC1	NC_24025-0094_all_R1.fastq	NC_24025-0094_all_R2.fastq	plate_1	F12	2	NEGATIVE_CONTROL_1				
NC2	NC_24025-0172_all_R1.fastq	NC_24025-0172_all_R2.fastq	plate_2	F10	4	NEGATIVE_CONTROL_2				
